OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
DETAIL4000,ORDER4654,PROD6128,2,54.61,109.22
DETAIL4001,ORDER4305,PROD2919,4,27.34,109.36
DETAIL4002,ORDER4799,PROD3176,4,81.39,325.56
DETAIL4003,ORDER5220,PROD2914,2,82.71,165.42
DETAIL4004,ORDER4503,PROD6188,2,67.76,135.52
DETAIL4005,ORDER5462,PROD6115,2,56.04,112.08
DETAIL4006,ORDER6806,PROD3685,2,39.53,79.06
DETAIL4007,ORDER7297,PROD4218,4,50.09,200.36
DETAIL4008,ORDER6904,PROD5919,4,57.35,229.4
DETAIL4009,ORDER3970,PROD2058,1,28.9,28.9
DETAIL4010,ORDER3702,PROD5551,1,71.68,71.68
DETAIL4011,ORDER3265,PROD6869,3,20.96,62.88
DETAIL4012,ORDER6258,PROD2257,1,32.95,32.95
DETAIL4013,ORDER5850,PROD3650,4,49.24,196.96
DETAIL4014,ORDER6687,PROD4435,1,85.14,85.14
DETAIL4015,ORDER3418,PROD5597,1,60.41,60.41
DETAIL4016,ORDER6545,PROD3623,1,95.18,95.18
DETAIL4017,ORDER7378,PROD3018,1,67.27,67.27
DETAIL4018,ORDER3675,PROD4049,1,63.54,63.54
DETAIL4019,ORDER6241,PROD6939,3,84.16,252.48
DETAIL4020,ORDER7412,PROD2444,3,59.22,177.66
DETAIL4021,ORDER5246,PROD6911,3,85.2,255.6
DETAIL4022,ORDER5006,PROD2161,3,91.44,274.32
DETAIL4023,ORDER4083,PROD4955,3,63.79,191.37
DETAIL4024,ORDER3832,PROD5654,1,58.91,58.91
DETAIL4025,ORDER5476,PROD6900,4,76.85,307.4
DETAIL4026,ORDER5359,PROD5710,3,14.89,44.67
DETAIL4027,ORDER3909,PROD5044,2,55.45,110.9
DETAIL4028,ORDER5503,PROD2828,4,37.9,151.6
DETAIL4029,ORDER6410,PROD5115,3,74.56,223.68
DETAIL4030,ORDER5341,PROD4585,2,64.52,129.04
DETAIL4031,ORDER5258,PROD6477,3,34.59,103.77
DETAIL4032,ORDER6346,PROD5246,3,73.7,221.1
DETAIL4033,ORDER3987,PROD5976,1,96.69,96.69
DETAIL4034,ORDER7084,PROD3078,1,48.73,48.73
DETAIL4035,ORDER6198,PROD4550,4,20.24,80.96
DETAIL4036,ORDER4435,PROD5395,2,60.03,120.06
DETAIL4037,ORDER4845,PROD4774,2,97.42,194.84
DETAIL4038,ORDER5631,PROD3183,3,15.22,45.66
DETAIL4039,ORDER7688,PROD2934,4,39.86,159.44
DETAIL4040,ORDER5417,PROD2408,1,42.05,42.05
DETAIL4041,ORDER6835,PROD6140,3,22.0,66.0
DETAIL4042,ORDER4124,PROD2104,4,71.5,286.0
DETAIL4043,ORDER6383,PROD6840,1,82.47,82.47
DETAIL4044,ORDER3761,PROD6714,3,58.52,175.56
DETAIL4045,ORDER5794,PROD4232,4,96.25,385.0
DETAIL4046,ORDER7695,PROD6729,3,66.24,198.72
DETAIL4047,ORDER5826,PROD5949,1,51.67,51.67
DETAIL4048,ORDER4460,PROD6748,4,25.17,100.68
DETAIL4049,ORDER4088,PROD4857,4,52.42,209.68
DETAIL4050,ORDER5150,PROD2412,2,96.43,192.86
DETAIL4051,ORDER7966,PROD2659,2,40.4,80.8
DETAIL4052,ORDER6845,PROD6581,2,83.06,166.12
DETAIL4053,ORDER7508,PROD5842,2,35.32,70.64
DETAIL4054,ORDER3228,PROD3880,4,32.58,130.32
DETAIL4055,ORDER5694,PROD4990,1,75.33,75.33
DETAIL4056,ORDER3953,PROD6648,1,73.47,73.47
DETAIL4057,ORDER5925,PROD2574,3,60.9,182.7
DETAIL4058,ORDER4647,PROD3074,4,70.98,283.92
DETAIL4059,ORDER3227,PROD4786,2,35.4,70.8
