OrderID,CustomerID,OrderDate,TotalAmount
ORDER3000,CUST2155,2023-10-03,493.66
ORDER3001,CUST1696,2023-09-05,116.9
ORDER3002,CUST2303,2023-08-04,328.02
ORDER3003,CUST3038,2023-03-17,129.65
ORDER3004,CUST4246,2023-04-26,184.34
ORDER3005,CUST4620,2023-06-29,210.96
ORDER3006,CUST4343,2023-11-26,352.43
ORDER3007,CUST2856,2023-12-30,253.96
ORDER3008,CUST3270,2023-03-04,276.13
ORDER3009,CUST5888,2023-07-24,424.33
ORDER3010,CUST1600,2023-12-14,51.35
ORDER3011,CUST2899,2023-06-06,336.89
ORDER3012,CUST1001,2023-11-23,112.13
ORDER3013,CUST1053,2023-11-22,125.63
ORDER3014,CUST3043,2023-02-14,203.5
ORDER3015,CUST5688,2023-07-18,144.92
ORDER3016,CUST2138,2023-07-26,388.58
ORDER3017,CUST3170,2023-03-28,416.63
ORDER3018,CUST4227,2023-08-05,40.25
ORDER3019,CUST3276,2023-05-13,132.51
ORDER3020,CUST2946,2023-09-01,89.37
ORDER3021,CUST2865,2023-04-19,341.43
ORDER3022,CUST1612,2023-11-29,227.31
ORDER3023,CUST2850,2023-06-21,86.83
ORDER3024,CUST1115,2023-09-12,221.05
ORDER3025,CUST5928,2023-11-17,463.36
ORDER3026,CUST4092,2023-03-16,362.41
ORDER3027,CUST5924,2023-11-29,100.26
ORDER3028,CUST5833,2023-11-25,34.8
ORDER3029,CUST3614,2023-10-02,260.68
ORDER3030,CUST4049,2023-09-15,291.13
ORDER3031,CUST4096,2023-09-13,309.74
ORDER3032,CUST3560,2023-09-17,22.76
ORDER3033,CUST3207,2023-01-01,269.41
ORDER3034,CUST5127,2023-07-21,34.76
ORDER3035,CUST5448,2023-12-25,153.76
ORDER3036,CUST2289,2023-08-30,425.34
ORDER3037,CUST3281,2023-05-03,496.41
ORDER3038,CUST4964,2023-02-22,181.05
ORDER3039,CUST5423,2023-03-30,53.94
ORDER3040,CUST5902,2023-01-11,252.63
ORDER3041,CUST3066,2023-03-26,34.95
ORDER3042,CUST2802,2023-01-29,139.08
ORDER3043,CUST2382,2023-07-15,239.37
ORDER3044,CUST4831,2023-10-18,476.06
ORDER3045,CUST1461,2023-03-25,225.78
ORDER3046,CUST5079,2023-08-11,54.83
ORDER3047,CUST2610,2023-09-21,243.97
ORDER3048,CUST5410,2023-02-28,57.58
ORDER3049,CUST5098,2023-06-28,112.05
ORDER3050,CUST3756,2023-08-25,330.87
ORDER3051,CUST3378,2023-06-24,120.61
ORDER3052,CUST4289,2023-11-17,359.5
ORDER3053,CUST3220,2023-06-01,49.59
ORDER3054,CUST1342,2023-08-12,35.41
ORDER3055,CUST3715,2023-04-25,76.42
ORDER3056,CUST5561,2023-07-13,458.14
ORDER3057,CUST5575,2023-09-29,121.24
ORDER3058,CUST1849,2023-08-11,146.01
ORDER3059,CUST3664,2023-06-15,281.08
ORDER3060,CUST2730,2023-03-28,278.31
ORDER3061,CUST2373,2023-06-08,412.93
ORDER3062,CUST2984,2023-06-14,273.52
ORDER3063,CUST5466,2023-05-12,43.07
ORDER3064,CUST5558,2023-09-22,283.76
ORDER3065,CUST5727,2023-12-29,142.91
ORDER3066,CUST4657,2023-08-20,423.67
ORDER3067,CUST4405,2023-05-23,287.15
ORDER3068,CUST2299,2023-06-17,200.34
ORDER3069,CUST2765,2023-04-20,163.46
ORDER3070,CUST5668,2023-05-21,235.46
ORDER3071,CUST3682,2023-04-07,288.77
ORDER3072,CUST5338,2023-08-07,480.46
ORDER3073,CUST5928,2023-09-07,247.25
ORDER3074,CUST4613,2023-05-14,178.54
ORDER3075,CUST5986,2023-01-28,471.46
ORDER3076,CUST4902,2023-07-20,497.98
ORDER3077,CUST3612,2023-07-21,200.22
ORDER3078,CUST1966,2023-03-13,358.42
ORDER3079,CUST2695,2023-09-02,327.1
ORDER3080,CUST5814,2023-06-03,408.58
ORDER3081,CUST3888,2023-10-31,335.98
ORDER3082,CUST2029,2023-04-06,284.04
ORDER3083,CUST4023,2023-07-29,247.93
ORDER3084,CUST1858,2023-01-07,267.53
ORDER3085,CUST5601,2023-02-03,434.15
ORDER3086,CUST1131,2023-08-02,220.19
ORDER3087,CUST2740,2023-03-18,464.61
ORDER3088,CUST4195,2023-08-15,78.11
ORDER3089,CUST5598,2023-12-14,50.62
ORDER3090,CUST1562,2023-02-28,146.17
ORDER3091,CUST2267,2023-11-11,189.7
ORDER3092,CUST2956,2023-06-16,442.56
ORDER3093,CUST5300,2023-06-20,104.6
ORDER3094,CUST2836,2023-04-23,439.57
ORDER3095,CUST1211,2023-06-11,36.92
ORDER3096,CUST3936,2023-12-10,423.67
ORDER3097,CUST3807,2023-05-04,68.88
ORDER3098,CUST1947,2023-10-19,215.52
ORDER3099,CUST2918,2023-02-02,50.84
ORDER3100,CUST5624,2023-11-20,208.97
ORDER3101,CUST3897,2023-08-24,36.76
ORDER3102,CUST2545,2023-04-04,360.23
ORDER3103,CUST5430,2023-06-28,94.61
ORDER3104,CUST3303,2023-10-28,494.18
ORDER3105,CUST4894,2023-04-20,93.31
ORDER3106,CUST2045,2023-06-10,80.45
ORDER3107,CUST1864,2023-07-04,76.5
ORDER3108,CUST2401,2023-08-19,485.41
ORDER3109,CUST3366,2023-03-14,461.82
ORDER3110,CUST1963,2023-03-02,61.44
ORDER3111,CUST1789,2023-10-01,197.95
ORDER3112,CUST3978,2023-08-12,157.9
ORDER3113,CUST4792,2023-08-02,172.49
ORDER3114,CUST5664,2023-05-21,207.31
ORDER3115,CUST2684,2023-12-06,321.49
ORDER3116,CUST1292,2023-09-15,81.8
ORDER3117,CUST3874,2023-04-04,88.12
ORDER3118,CUST3245,2023-05-10,306.34
ORDER3119,CUST3112,2023-02-24,471.78
ORDER3120,CUST3337,2023-10-02,440.12
ORDER3121,CUST2147,2023-11-20,91.57
ORDER3122,CUST1285,2023-09-23,372.96
ORDER3123,CUST1881,2023-06-14,82.95
ORDER3124,CUST5280,2023-06-13,279.87
ORDER3125,CUST5018,2023-12-24,481.99
ORDER3126,CUST4506,2023-05-31,124.49
ORDER3127,CUST5049,2023-02-14,491.6
ORDER3128,CUST3695,2023-10-02,446.31
ORDER3129,CUST3475,2023-01-10,208.49
ORDER3130,CUST2519,2023-09-30,21.58
ORDER3131,CUST1733,2023-06-09,486.22
ORDER3132,CUST4997,2023-03-13,188.43
ORDER3133,CUST4974,2023-09-18,213.4
ORDER3134,CUST5277,2023-03-11,429.29
ORDER3135,CUST5219,2023-10-30,190.65
ORDER3136,CUST4045,2023-08-24,259.04
ORDER3137,CUST1870,2023-07-29,299.33
ORDER3138,CUST2683,2023-11-26,373.4
ORDER3139,CUST2120,2023-12-22,376.77
ORDER3140,CUST1559,2023-11-13,123.0
ORDER3141,CUST2953,2023-04-16,34.45
ORDER3142,CUST1549,2023-06-10,225.36
ORDER3143,CUST4673,2023-01-05,217.16
ORDER3144,CUST4496,2023-05-11,410.63
ORDER3145,CUST1330,2023-08-23,282.16
ORDER3146,CUST2540,2023-03-30,309.69
ORDER3147,CUST4231,2023-07-27,76.79
ORDER3148,CUST4226,2023-12-10,152.89
ORDER3149,CUST1863,2023-09-15,198.14
ORDER3150,CUST2791,2023-08-11,463.87
ORDER3151,CUST3754,2023-07-02,147.75
ORDER3152,CUST3255,2023-09-20,492.44
ORDER3153,CUST5411,2023-03-04,55.94
ORDER3154,CUST3755,2023-08-11,354.23
ORDER3155,CUST4379,2023-12-11,468.99
