ProductID,ProductName,Category,Price,StockQuantity
PROD2000,Product_0,Clothing,34.77,160
PROD2001,Product_1,Home,40.07,162
PROD2002,Product_2,Home,50.68,77
PROD2003,Product_3,Home,90.09,50
PROD2004,Product_4,Electronics,92.46,70
PROD2005,Product_5,Electronics,73.66,178
PROD2006,Product_6,Electronics,59.58,75
PROD2007,Product_7,Electronics,32.88,59
PROD2008,Product_8,Home,31.05,94
PROD2009,Product_9,Home,28.66,196
PROD2010,Product_10,Clothing,62.75,143
PROD2011,Product_11,Home,43.16,50
PROD2012,Product_12,Toys,60.31,95
PROD2013,Product_13,Home,86.73,58
PROD2014,Product_14,Home,61.39,122
PROD2015,Product_15,Home,58.19,95
PROD2016,Product_16,Electronics,29.17,69
PROD2017,Product_17,Electronics,65.13,123
PROD2018,Product_18,Home,41.77,193
PROD2019,Product_19,Toys,46.62,122
PROD2020,Product_20,Clothing,27.53,110
PROD2021,Product_21,Home,80.38,195
PROD2022,Product_22,Electronics,63.96,109
PROD2023,Product_23,Home,28.68,51
PROD2024,Product_24,Toys,90.87,61
PROD2025,Product_25,Toys,89.45,118
PROD2026,Product_26,Electronics,86.2,163
PROD2027,Product_27,Toys,74.63,154
PROD2028,Product_28,Home,73.82,59
PROD2029,Product_29,Electronics,27.56,180
PROD2030,Product_30,Toys,48.39,195
PROD2031,Product_31,Electronics,85.8,127
PROD2032,Product_32,Home,96.21,82
PROD2033,Product_33,Clothing,49.22,178
PROD2034,Product_34,Home,72.04,164
PROD2035,Product_35,Home,87.06,165
PROD2036,Product_36,Toys,61.51,119
PROD2037,Product_37,Electronics,43.52,102
PROD2038,Product_38,Clothing,77.13,99
PROD2039,Product_39,Clothing,47.47,159
PROD2040,Product_40,Electronics,29.73,137
PROD2041,Product_41,Electronics,95.84,188
PROD2042,Product_42,Clothing,70.09,124
PROD2043,Product_43,Home,36.71,138
PROD2044,Product_44,Clothing,76.5,174
PROD2045,Product_45,Clothing,33.56,191
PROD2046,Product_46,Toys,89.33,143
PROD2047,Product_47,Home,54.55,93
PROD2048,Product_48,Electronics,25.51,127
PROD2049,Product_49,Home,65.93,137
PROD2050,Product_50,Electronics,91.62,107
