ShipmentID,OrderID,ShipmentDate,Carrier,TrackingNumber,Status
SHIP5000,ORDER3000,2023-06-05,FedEx,1Z9942430,Delivered
SHIP5001,ORDER3001,2023-03-13,FedEx,1Z1416857,In Transit
SHIP5002,ORDER3002,2023-10-01,UPS,1Z3732708,In Transit
SHIP5003,ORDER3003,2023-08-03,UPS,1Z6052328,In Transit
SHIP5004,ORDER3004,2023-04-03,DHL,1Z7690423,Shipped
SHIP5005,ORDER3005,2023-07-17,UPS,1Z9603980,Delivered
SHIP5006,ORDER3006,2023-11-02,UPS,1Z2555974,Shipped
SHIP5007,ORDER3007,2023-08-01,FedEx,1Z4131715,Delivered
SHIP5008,ORDER3008,2023-08-07,USPS,1Z5758845,Shipped
SHIP5009,ORDER3009,2023-10-15,UPS,1Z6299324,Delivered
SHIP5010,ORDER3010,2023-01-17,USPS,1Z6369394,In Transit
SHIP5011,ORDER3011,2023-11-03,FedEx,1Z8691605,Shipped
SHIP5012,ORDER3012,2023-01-06,UPS,1Z9399810,In Transit
SHIP5013,ORDER3013,2023-12-14,FedEx,1Z8126646,Delivered
SHIP5014,ORDER3014,2023-09-06,DHL,1Z4101633,Shipped
SHIP5015,ORDER3015,2023-10-10,UPS,1Z1168917,In Transit
SHIP5016,ORDER3016,2023-05-06,USPS,1Z3238925,Delivered
SHIP5017,ORDER3017,2023-07-26,USPS,1Z2274149,Delivered
SHIP5018,ORDER3018,2023-10-28,FedEx,1Z4109629,In Transit
SHIP5019,ORDER3019,2023-08-09,FedEx,1Z3996308,In Transit
SHIP5020,ORDER3020,2023-01-18,DHL,1Z5823532,Shipped
SHIP5021,ORDER3021,2023-08-03,USPS,1Z7804927,In Transit
SHIP5022,ORDER3022,2023-07-03,DHL,1Z8222004,Shipped
SHIP5023,ORDER3023,2023-04-21,USPS,1Z2722165,Delivered
SHIP5024,ORDER3024,2023-03-14,FedEx,1Z6456946,In Transit
SHIP5025,ORDER3025,2023-12-24,USPS,1Z5534392,In Transit
SHIP5026,ORDER3026,2023-04-09,USPS,1Z5259344,In Transit
SHIP5027,ORDER3027,2023-04-19,FedEx,1Z3000544,Delivered
SHIP5028,ORDER3028,2023-03-08,DHL,1Z7527533,Delivered
SHIP5029,ORDER3029,2023-05-10,USPS,1Z4667867,In Transit
SHIP5030,ORDER3030,2023-04-09,USPS,1Z5187239,Delivered
SHIP5031,ORDER3031,2023-08-29,USPS,1Z7211528,In Transit
SHIP5032,ORDER3032,2023-02-27,FedEx,1Z3226312,Delivered
SHIP5033,ORDER3033,2023-04-25,USPS,1Z1742206,In Transit
SHIP5034,ORDER3034,2023-09-29,DHL,1Z9888280,Delivered
SHIP5035,ORDER3035,2023-10-20,DHL,1Z9872670,In Transit
SHIP5036,ORDER3036,2023-04-23,UPS,1Z6180709,Delivered
SHIP5037,ORDER3037,2023-01-24,DHL,1Z9723334,Shipped
SHIP5038,ORDER3038,2023-09-03,UPS,1Z4825918,Shipped
SHIP5039,ORDER3039,2023-07-18,USPS,1Z7651765,In Transit
SHIP5040,ORDER3040,2023-05-23,DHL,1Z7683680,Delivered
SHIP5041,ORDER3041,2023-03-23,FedEx,1Z5989023,Shipped
SHIP5042,ORDER3042,2023-10-07,USPS,1Z2218038,Delivered
SHIP5043,ORDER3043,2023-09-09,DHL,1Z2235310,Shipped
SHIP5044,ORDER3044,2023-12-27,UPS,1Z2717331,In Transit
SHIP5045,ORDER3045,2023-01-21,FedEx,1Z7287052,Shipped
SHIP5046,ORDER3046,2023-07-08,DHL,1Z1187430,Shipped
SHIP5047,ORDER3047,2023-06-20,DHL,1Z8496285,In Transit
SHIP5048,ORDER3048,2023-12-11,UPS,1Z7222870,Shipped
SHIP5049,ORDER3049,2023-11-27,USPS,1Z9921188,Shipped
SHIP5050,ORDER3050,2023-07-30,USPS,1Z1565404,Shipped
SHIP5051,ORDER3051,2023-08-12,USPS,1Z1183549,Shipped
SHIP5052,ORDER3052,2023-08-04,FedEx,1Z8277876,Delivered
SHIP5053,ORDER3053,2023-05-01,USPS,1Z6680298,Shipped
SHIP5054,ORDER3054,2023-11-23,DHL,1Z8699317,In Transit
SHIP5055,ORDER3055,2023-06-25,UPS,1Z3012587,In Transit
SHIP5056,ORDER3056,2023-11-27,USPS,1Z2696773,Delivered
SHIP5057,ORDER3057,2023-06-23,FedEx,1Z7636373,In Transit
SHIP5058,ORDER3058,2023-11-25,UPS,1Z7111787,In Transit
SHIP5059,ORDER3059,2023-10-09,FedEx,1Z6479441,In Transit
SHIP5060,ORDER3060,2023-10-25,USPS,1Z4389529,Shipped
SHIP5061,ORDER3061,2023-03-11,USPS,1Z7326868,In Transit
SHIP5062,ORDER3062,2023-09-20,USPS,1Z7268215,Delivered
SHIP5063,ORDER3063,2023-03-09,UPS,1Z4020035,Shipped
SHIP5064,ORDER3064,2023-11-22,UPS,1Z2994898,Shipped
SHIP5065,ORDER3065,2023-07-10,FedEx,1Z8935477,In Transit
SHIP5066,ORDER3066,2023-05-08,USPS,1Z6542331,Delivered
SHIP5067,ORDER3067,2023-11-23,UPS,1Z6770952,Shipped
SHIP5068,ORDER3068,2023-01-08,USPS,1Z3874157,In Transit
SHIP5069,ORDER3069,2023-08-20,FedEx,1Z1435353,Delivered
SHIP5070,ORDER3070,2023-10-19,DHL,1Z9594313,Shipped
SHIP5071,ORDER3071,2023-09-17,USPS,1Z6635401,In Transit
SHIP5072,ORDER3072,2023-02-11,USPS,1Z6224922,Shipped
SHIP5073,ORDER3073,2023-07-22,DHL,1Z6491883,Delivered
SHIP5074,ORDER3074,2023-11-30,FedEx,1Z7427845,In Transit
SHIP5075,ORDER3075,2023-07-26,USPS,1Z1064748,Shipped
SHIP5076,ORDER3076,2023-09-22,USPS,1Z6952154,In Transit
SHIP5077,ORDER3077,2023-07-10,DHL,1Z9422439,Delivered
SHIP5078,ORDER3078,2023-06-27,FedEx,1Z2827131,Shipped
SHIP5079,ORDER3079,2023-07-15,USPS,1Z6695476,Shipped
SHIP5080,ORDER3080,2023-11-22,DHL,1Z7727188,In Transit
SHIP5081,ORDER3081,2023-12-03,UPS,1Z7513766,Shipped
SHIP5082,ORDER3082,2023-12-07,UPS,1Z9716415,Shipped
SHIP5083,ORDER3083,2023-01-20,FedEx,1Z4389809,In Transit
SHIP5084,ORDER3084,2023-12-26,DHL,1Z5133685,In Transit
SHIP5085,ORDER3085,2023-09-04,USPS,1Z5326511,In Transit
SHIP5086,ORDER3086,2023-04-26,UPS,1Z9072789,Delivered
SHIP5087,ORDER3087,2023-07-13,FedEx,1Z2560870,Delivered
